,Name,Timestamp,Index,Video_Title,Video_ID,Video_URL,Channel_Name,Channel_URL,Description,Publish_Date,Category,View_Count,Like_Count,Dislike_Count,Comment_Count,Classification,hispanicmale24_Search_Appearance,hispanicmale24_Page,hispanicmale24_Ranking,hispanicfemale24_Search_Appearance,hispanicfemale24_Page,hispanicfemale24_Ranking,whitemale24_Search_Appearance,whitemale24_Page,whitemale24_Ranking,whitefemale24_Search_Appearance,whitefemale24_Page,whitefemale24_Ranking,africanamericanmale24_Search_Appearance,africanamericanmale24_Page,africanamericanmale24_Ranking,africanamericanfemale24_Search_Appearance,africanamericanfemale24_Page,africanamericanfemale24_Ranking,whitemale24_2_Search_Appearance,whitemale24_2_Page,whitemale24_2_Ranking,whitefemale24_2_Search_Appearance,whitefemale24_2_Page,whitefemale24_2_Ranking,hispanicmale16_Search_Appearance,hispanicmale16_Page,hispanicmale16_Ranking,hispanicfemale16_Search_Appearance,hispanicfemale16_Page,hispanicfemale16_Ranking,whitemale16_Search_Appearance,whitemale16_Page,whitemale16_Ranking,whitefemale16_Search_Appearance,whitefemale16_Page,whitefemale16_Ranking,whitemale16_2_Search_Appearance,whitemale16_2_Page,whitemale16_2_Ranking,whitefemale16_2_Search_Appearance,whitefemale16_2_Page,whitefemale16_2_Ranking,africanamericanmale16_Search_Appearance,africanamericanmale16_Page,africanamericanmale16_Ranking,africanamericanfemale16_Search_Appearance,africanamericanfemale16_Page,africanamericanfemale16_Ranking,electronic_cigarette_search,e-cigarette_search,e-cig_search,vape_search,vaping_search,e-liquid_search,e-juice_search,vape_pods_search,vape_mods_search,cigalikes_search,box_mods_search,vape_pens_search,pod_mods_search,disposable_vape_search,disposable_e-cigs_search,disposables_search,vape_juice_search,ends_search,has_label_0,has_label_1,has_label_2,has_label_3,has_label_4,has_label_5,has_label_6,has_label_7,has_labels,has_label_8,has_label_9,has_label_10,has_label_11,has_label_12,has_label_13,has_label_14,has_label_nan,model 3
0,Alex,2020-12-17 18:01:44.784011,3062,Centaurus DNA 250C by Lost Vape!,tmk2orpFJYk,https://www.youtube.com/watch?v=tmk2orpFJYk,Matt From SMM,https://www.youtube.com/channel/UCaABLqKOy33BcQBU0bG1mmA,"in this video we check out the centaurus dna 250c mod by lost vape. this device takes two 18650 batteries and could definitely have been called the paranormal v2. high end looks and build quality. 

facebook
 https://www.facebook.com/smmvapereviews
instagram
https://www.instagram.com/suckmymod/
twitter
https://twitter.com/suckmymod

check out our new youtube channel!
https://www.youtube.com/c/mattandv

once again don’t forget to join http://casaa.org 

these videos are my opinions based on the experiences i have had with the product. some of the products i have received at no charge or at a discount for the purpose of review. i retain the right to say whatever i want about the products, and i have always been 100% honest in my videos.",2020-05-25T20:58:08Z,Science & Technology,17107,518.0,9.0,57.0,[],False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,18.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,4.0,8.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,2
0,Alex,2020-12-17 18:03:00.533241,3725,Testing 2 thc vape pens by alpine,ECBnKrgfdPE,https://www.youtube.com/watch?v=ECBnKrgfdPE,420 gamer,https://www.youtube.com/channel/UC3gI18cw8oSNPyDgTbCwAIQ,,2017-03-04T20:00:30Z,People & Blogs,4877,20.0,8.0,8.0,[],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,18.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,2
0,Alex,2020-12-17 18:03:22.206463,3400,2020 LG NanoCell TV l What is NanoCell Technology?,UG4dRlIsxe0,https://www.youtube.com/watch?v=UG4dRlIsxe0,LG Global,https://www.youtube.com/channel/UC2SIWgqcys7Gcb6JxsFTm1Q,"nano technology creates pure colors so everything you watch is exactly as it’s meant to be. 
you can now witness every vivid moment on an ultra large screen.


nano color l nano black l nano accuracy l nano bezel",2020-04-09T08:51:25Z,Science & Technology,65501,578.0,28.0,61.0,[],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,1.0,15.0,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,5
0,Alex,2020-12-17 18:04:18.958824,3005,Cigreen Tank Crossing Box Mod Review | Blackhat Vapor - Jacksonville E Cigarette Shop,V4ffTYRcz2g,https://www.youtube.com/watch?v=V4ffTYRcz2g,Blackhat Vapor,https://www.youtube.com/channel/UClP1MFd207Oqidi_HhWrJxA,"if you like what you see, you can pick up a wooden box mod from us here: http://www.blackhatcigs.com/mods-rebuildables/mechanical-mods/cigreen-wooden-box-mod.html

tyler from blackhat vapor is back!  this time he breaks down our newest addition to our mod selection - the tank crossing box mod from cigreen.  

thanks for watching!
-blackhat vapor

for more great e-cig reviews visit: https://www.youtube.com/playlist?list=pl-p9zrr1loirrobgqf36kt8yer3305fvm

follow us to hear about the latest e-cigarette products and news:

https://www.facebook.com/blackhatcigs
https://twitter.com/blackhatcigs
https://www.pinterest.com/blackhatcigs/
https://plus.google.com/+blackhatcigs/about
https://www.youtube.com/channel/uclp1mfd207oqidi_hhwrjxa
https://en.gravatar.com/blackhatcigs
https://vimeo.com/channels/blackhatcigs
https://www.linkedin.com/company/blackhat-vapor
http://vape-shop.blogspot.com/

visit us at one of our jacksonville e cigarette shops:

blackhat vapor shop
31 sailfish dr e
atlantic beach, fl 32233
(904) 339-8273

blackhat vapor
1190 edgewood ave s
jacksonville, fl 32205
(904) 638-5880",2014-12-03T20:21:19Z,Howto & Style,107696,311.0,41.0,46.0,['marijuana'],False,,,False,,,False,,,False,,,False,,,True,7.0,6.0,False,,,False,,,True,5.0,18.0,True,6.0,16.0,True,7.0,4.0,False,,,False,,,False,,,True,7.0,2.0,False,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,3
0,Alex,2020-12-17 18:05:09.333715,1467,Xiaomi Taki Disposable E-Cig Review | Vaping On Peas?,0_XHqLvK6Xk,https://www.youtube.com/watch?v=0_XHqLvK6Xk,FlatCap Vaper,https://www.youtube.com/channel/UCSyNoKu6BaxhTxLb4LmU4aQ,"hey folks. many thanks for joining me for this review.
a big thank you to the vendor or manufacturer for sending me the product(s) for an honest review.

all views and opinions are solely those of my own and do not necessarily reflect the opinion of others..

a huge thanks for supporting the channel, if you wish to support me further, or need some advice on a product i've reviewed. you can find me on social media below.
if you'd like to support the channel even more, my patreon link is below and you can get access to a few extra features and early release content, along with giveaways etc etc.

how to see me:
youtube ► https://www.youtube.com/flatcapvaper
want to support the channel? https://www.patreon.com/join/flatcapv...

how to reach me:
email ► flatcapvaper@gmail.com
twitter ► @flatcapvaper
instagram ► @flatcapvaper
facebook ► flatcap vaper


#flatcapvaper",2019-09-16T18:43:29Z,People & Blogs,1075,22.0,2.0,10.0,['tutorial'],True,1.0,20.0,True,1.0,18.0,True,1.0,17.0,True,1.0,20.0,True,1.0,8.0,True,1.0,12.0,True,1.0,20.0,True,1.0,17.0,True,1.0,17.0,True,2.0,1.0,True,1.0,21.0,True,1.0,10.0,True,1.0,16.0,True,1.0,14.0,True,1.0,20.0,True,1.0,26.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,2
0,Alex,2020-12-17 18:06:01.660201,2706,TGO Pod Mod By VAPEFLY ~Vape Pod Kit Review~,elhDGa48zcU,https://www.youtube.com/watch?v=elhDGa48zcU,MyFreedomSmokes,https://www.youtube.com/channel/UC3wGP7DWOfOByCmtwDpq11A,"thanks for watching our video!
tgo pod mod by vapefly (sample product not for sale)
products shown here are available for sale at myfreedomsmokes.com.  click the links below to browse our site.

mfs homepage:  https://www.myfreedomsmokes.com",2020-07-09T19:58:44Z,Howto & Style,1007,24.0,2.0,4.0,[],False,,,False,,,False,,,False,,,True,3.0,16.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,1
0,Alex,2020-12-17 18:06:47.767815,3598,【明日方舟/Arknights】[AF-6] - Low End Squad - Arknights Strategy,x3G442PIlYA,https://www.youtube.com/watch?v=x3G442PIlYA,KyoStinV,https://www.youtube.com/channel/UCWwuijyo4x78iXup5hOvkbw,"i made this with operators those are easy to find and replace, so if you have better operators of the same category, you can replace them.
it's not essential to follow the steps perfectly.
adjust the strategies a little bit for yourself to suit your own team comp better.

arknights - acient forge levels:
https://www.youtube.com/playlist?list=plngrku2z_ibkaufqarxoc-vqlihm83e_5

arknights - main story levels: 
https://www.youtube.com/playlist?list=plngrku2z_iblzpu9d-vepovybdngstmyv

arknights - main story levels challenge mode: 
https://www.youtube.com/playlist?list=plngrku2z_ibmtpxlie6h27l3bizw5mulq

arknights - supplies levels:
https://www.youtube.com/playlist?list=plngrku2z_iblzklmfg0r2bwrzuh1cyrzt

arknights - chips levels: 
https://www.youtube.com/playlist?list=plngrku2z_ibknzp5fy6nitaajquv6is_g

arknights - annihilation:
https://www.youtube.com/playlist?list=plngrku2z_ibngrifwsfottzmi7a0mvdfx

arknights walkthrough:
https://www.youtube.com/playlist?list=plngrku2z_ibmg8vppild4bi_9vv51aee6

arknights operators spotlight:
https://www.youtube.com/playlist?list=plngrku2z_ibkokpqj0fasuht4prd9kr-4

arknights 1p relays:
https://www.youtube.com/playlist?list=plngrku2z_iblvz4h0ygadrj69emw2atv9

discord server:
https://discord.gg/dvsqcdq

#arknights

support this channel: https://ko-fi.com/kyostinv",2020-07-29T22:50:25Z,Gaming,18809,593.0,9.0,58.0,"['marijuana', 'tutorial']",False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,16.0,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,5
0,Alex,2020-12-17 18:07:22.651796,2558,Bad A** Color Vape Pods! The Mino Pod Kit By Coilart!,34hURii9vzE,https://www.youtube.com/watch?v=34hURii9vzE,RiP Trippers,https://www.youtube.com/channel/UCgZd5ygXFoQry9KDGlddSBg,"for more information on what was shown in this video
visit: http://bit.ly/2pgclyu

my instagram: http://www.instagram.com/riptrippers",2019-01-25T05:25:11Z,People & Blogs,64862,1424.0,56.0,166.0,[],False,,,False,,,False,,,False,,,True,4.0,3.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,2
0,Alex,2020-12-17 18:07:56.265181,3316,Mimic Ecig Pod System,XiL680n7cb4,https://www.youtube.com/watch?v=XiL680n7cb4,Timmerz,https://www.youtube.com/channel/UCYAotgLWm1Otgv8t_zSzVvA,"follow me on my backup (and also some exclusive uploads)
https://lbry.tv/$/invite/@timmerz:e

have a product you'd like me to review?
email: timmerzreviews@gmail.com",2019-03-11T10:30:01Z,Education,188,,,1.0,[],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,6.0,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,2
0,Alex,2020-12-17 18:08:40.324242,2823,MUNGO CHERRY VAPE JUICE - MUNGO JERRY,OyBfufMDES8,https://www.youtube.com/watch?v=OyBfufMDES8,Mungo Jerry,https://www.youtube.com/channel/UCwo4_J21tNc2jb7PILsIPuA,"mungo cherry the first ‪#mungo jerry‬ related ‪vapejuice‬ is here!

 soon available on www.mungojerry.com ‪#‎juiceefruit‬

___
band members:
bass: jon playle
key's: toby hounsham
drums: bob white

video & edit by @phillipdorset: https://www.youtube.com/phillipdorset
___

follow mungo jerry:

facebook:         https://www.facebook.com/mungojerryofficial
twitter:              https://twitter.com/mungojerryltd
instagram:        https://www.instagram.com/mungojerryofficial/
soundcloud:     https://soundcloud.com/mungojerryofficial

official website:
http://www.mungojerry.com

get the official mungo jerry merchandise:
http://bit.ly/1wlxupy",2016-06-03T09:42:25Z,Music,26882,431.0,16.0,47.0,['tricks'],False,,,False,,,False,,,False,,,True,5.0,16.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,5
